"COLLES.MDM.LN" "SACKIN" "COPHENETIC"
33.0168026970169 112 320
25.7030676876946 96 195
69.4263288181946 141 736
57.485982039885 128 575
61.1138794229159 137 689
70.8799203878139 155 732
92.9142553944325 164 1047
24.5477764667289 95 284
52.0376495799365 125 321
82.4869931149822 163 887
90.8434110170625 167 1136
15.5952774076478 77 97
42.1220457272017 124 378
69.46835440043 155 1057
59.3432774579581 132 714
15.0760913522335 106 281
23.1721366441907 97 156
23.2814695522772 102 316
39.1097122487918 112 262
30.5823578903334 98 417
38.269256596753 130 405
35.4887254784165 128 486
25.1148241871034 87 339
17.6660379438945 91 157
29.0042677636783 103 167
25.3086147112875 98 343
29.896979934992 105 253
49.3808845759717 127 694
19.0940860093557 81 97
11.4141558969614 75 59
57.9367667356549 137 615
77.1828288880779 157 873
24.160954338742 88 257
41.9505756781714 108 571
44.0443942786023 109 308
47.1783147406565 114 515
44.6801152096739 113 524
41.8813746612399 120 651
61.4086431157855 150 461
58.8014918427325 134 574
113.56353734438 179 1023
39.5745374026835 122 483
38.8331466317333 131 378
45.151978419786 118 471
50.4627363449207 124 471
54.471413956357 120 545
90.3809593541487 172 1117
31.9378107472274 100 194
40.03605301094 104 308
57.0123409200849 133 546
20.7675964352262 88 174
52.8971017467043 141 671
35.3690083555143 119 352
68.0189411112657 126 800
12.0320562640276 73 63
55.2726509573567 117 458
62.8370436828852 135 547
11.7891918790837 74 119
37.1832146515833 122 467
29.4102517236702 102 388
37.1499866630146 110 273
15.8824936933233 78 217
68.5261443587707 145 775
44.8608674577786 118 589
107.325703397839 180 947
39.4918964604314 121 429
48.3989729428122 127 472
39.1351505499034 111 180
70.820239005868 141 607
41.806797796416 121 505
23.8722167801127 85 102
68.0687925579791 138 724
25.0623152806625 92 259
28.9429730028057 103 289
37.6922922669836 98 405
67.6855070054307 141 512
57.7551435376734 135 828
61.7194236047723 133 666
107.775866511412 196 1324
33.2461862028893 109 434
65.1126438593602 141 681
19.2090916908381 91 284
61.2517469024561 143 603
119.310932920817 196 1336
4.95722209645343 57 45
54.824163983929 136 607
55.1589312870208 134 655
21.2227207733815 91 127
25.9212287754053 97 218
9.62073065388018 78 86
47.7123056901025 125 494
64.2854439340074 149 683
73.1865120397603 157 791
28.569131206189 116 433
14.2697502394752 80 303
63.0575094389967 137 706
7.81228919066932 64 71
30.3963881355001 102 219
25.1698007869073 92 155
45.6833267614228 123 364
33.5023462573978 108 391
38.2079494908365 97 458
71.1402374810871 146 562
60.8573397093472 137 686
19.5822856853919 87 144
22.2058507804735 95 277
21.2976369249923 91 167
38.6015975655217 118 341
29.5105902004482 101 313
22.2905008275456 102 250
57.9257942964029 134 521
18.358809692225 77 90
95.7855980274187 174 1072
75.5598683965365 163 1043
13.4960755795486 70 66
36.1986336932173 116 310
49.8067193635841 119 356
41.8743602031161 113 396
20.7086896950344 92 228
56.8384959706991 130 602
20.3916076767087 85 185
42.450781449365 126 675
33.6221792507668 97 162
57.0762082082679 143 791
130.054891736943 214 1619
74.5583097419288 149 902
72.5386619144057 158 889
44.5138539433402 117 330
65.4425966067756 145 843
45.2441931336322 115 501
32.6662604724468 108 256
30.4570343741285 97 127
42.7543754239899 111 577
45.0643439638932 116 471
33.9413307415092 111 201
42.6533908937137 110 367
42.9576672779979 130 612
34.1344681066074 128 356
38.8591313644914 106 422
10.3365226183739 56 32
20.4959365111217 90 334
63.3523859260464 140 583
80.6909180144199 150 1042
47.1651286491487 133 464
41.4074844368978 114 295
54.686340586755 126 515
25.7651997246029 88 175
67.3543855384149 150 531
20.0334019207725 81 97
9.73227115175404 63 39
47.9204812088801 138 405
39.1901710016135 121 409
36.4366485276042 115 632
39.5823420089162 108 206
22.6363653122109 98 466
108.86854862671 180 1155
61.0034645417231 141 532
49.3010736543441 126 598
52.8728604379302 132 601
29.7997449322778 113 350
27.3165035497866 103 302
46.2978641912638 123 311
32.2537320953808 113 461
40.9055085699593 115 461
30.0021271757322 116 288
55.6565322267821 126 703
9.02562058955144 67 94
46.4328467411966 114 533
78.9753485972207 148 590
61.5608713731623 128 350
127.108342464174 205 1586
17.8282629882783 81 89
29.1429823176068 120 358
19.1677726004636 89 229
51.193059358682 126 566
50.0512052118364 130 785
47.6323827704783 116 387
32.2475491490833 110 202
31.4029534081828 113 283
58.0197946578447 144 504
37.9399990856692 110 404
28.2197312003355 107 284
93.3872734207582 161 939
27.0307414511827 111 313
38.7476142750436 113 651
54.8851751042048 130 307
39.2524675173861 109 494
42.1944611437575 120 340
39.5004094237622 116 515
41.6556584589367 121 508
71.4924068111994 151 996
43.2070172831216 121 468
64.1733539320591 144 683
13.5666280047104 75 66
13.4314806334177 74 65
44.461887197554 124 592
35.3111893433213 111 488
62.0686714435533 141 709
30.1949038043184 101 151
64.2756816116175 147 803
44.5172003453053 123 552
75.6077541928019 150 879
90.4000822091562 164 913
103.522593254816 185 888
79.5426741958155 157 530
39.3672967182717 105 249
61.3217585209371 135 634
39.6792134682228 112 411
45.4402658713824 117 434
7.64530823379302 70 170
60.7819802377208 151 817
47.5801809328222 127 546
25.5699982397715 87 419
30.0559614332729 106 348
33.5855193882282 111 332
53.3456327322833 141 654
37.7529636351649 107 445
62.4582708683785 141 640
70.9406040874053 141 699
72.3406758660783 154 765
77.0063561248677 152 900
7.24832659246035 65 120
26.8520609679144 111 312
27.159706464269 108 393
71.607720148303 154 901
15.0960408639109 85 133
56.3048902868217 130 398
59.7405433430901 149 776
28.9983320482791 103 277
49.4261514727034 114 464
48.4916079437929 121 344
42.0299526202205 133 582
30.2669607918436 90 135
38.5526203246366 123 522
36.2166533595744 112 375
25.3427083836395 101 250
82.7044104552445 166 1063
26.7072342716493 100 187
33.6096914029798 113 435
51.0625092177165 128 475
18.295424008787 84 176
44.5246483760501 129 568
28.8336629614672 98 507
27.2002225676865 94 300
46.9326285066437 136 446
67.5918440457184 141 589
20.6942413150773 99 284
103.295135164551 168 959
46.5225493140455 125 545
22.7737409788023 93 153
43.5415358085641 117 335
53.3288367143913 120 598
35.9011262745582 108 435
28.8131605529765 102 209
95.7494934335841 174 1282
36.4803080749713 114 594
41.6224518260045 126 457
12.112500857313 73 158
26.7433987605398 95 150
49.95316527364 133 560
26.4017689154449 98 235
21.6887359581978 100 250
30.5779624611044 100 299
49.2085125319631 118 525
29.0414395786373 100 207
27.0058400035507 86 148
49.7288712726645 125 661
54.7835628193331 146 611
42.8944511130628 115 586
16.1157801284073 79 92
77.6025602294959 156 786
34.6294023512214 104 270
57.5627299630582 129 598
11.2384596226292 69 61
28.0746298971634 94 143
7.42039842539614 62 45
44.2429930083872 118 337
62.5747790563662 136 596
17.9409438509374 88 235
24.361178883106 100 380
52.1885200410545 129 436
31.3705340078125 105 207
15.3815362206959 94 206
58.7437252599436 137 444
24.3862941073647 96 167
22.123240015404 90 128
56.9600724632815 133 728
83.3152293767024 156 838
52.9325884762914 121 509
65.7541188582902 132 846
31.0330616830712 111 356
18.4358303378422 79 156
56.0177375200356 132 699
55.5091744137922 136 586
74.8135569063179 154 804
91.3007346494517 165 1011
8.1569240128697 62 70
31.7481116304873 114 480
67.1653018932027 147 952
52.6164096385525 128 389
38.8538283064203 115 401
68.2847894951701 152 653
34.0690874528584 106 195
43.0069044111452 121 360
35.1628147763685 101 343
75.3737389127908 155 673
98.3408924567227 189 1368
36.1576499145968 106 334
29.8740631460201 115 313
39.8797438470125 117 298
58.1486384995262 139 599
14.705877369329 87 137
57.8588338794622 144 699
25.579646304128 107 358
25.4261674175379 107 315
41.3482826080965 121 441
17.6828598568346 75 104
21.9181902231561 100 321
14.8064009838042 79 92
63.5950069660249 136 618
12.06741087947 74 133
68.2417502745981 147 767
45.0304508844163 111 513
51.2667808161386 131 639
96.4459496770542 170 1010
40.684802394274 108 302
41.2572977046476 118 517
79.985301995921 156 1072
68.4186013822342 147 823
38.8931040821578 105 325
18.9143111203293 81 81
27.2461148055519 94 164
28.3714574477386 97 185
20.3439123031423 84 119
24.6977919052328 99 366
14.1494233644767 78 166
37.6509783560248 107 382
17.4857815374358 92 344
30.2225124700026 130 348
37.7490147846778 122 288
103.880392337056 179 916
81.4659235249806 161 963
20.1643099576392 95 186
107.278164691431 184 1189
40.0042354272933 113 500
25.2300663928196 87 97
44.8357583395116 117 310
63.172947548598 144 889
21.9642769857239 90 395
22.2855715501421 95 270
34.2846431307312 103 212
67.1611641068629 148 732
29.7585113917305 94 163
14.9191607886162 106 287
20.8244908944767 88 213
72.6469809014764 142 911
94.6870395606752 163 996
11.4446822139232 77 226
41.7333952381465 114 258
43.6467199903396 120 269
51.5704958278668 135 470
48.6528014266897 121 516
31.1545513892416 111 306
36.0787494629588 123 382
36.5136618901656 102 430
42.1075032929535 117 247
35.7803993554853 119 386
27.1638163785851 102 230
43.0666689524699 118 453
15.7482223893664 91 258
52.0259682298148 134 369
58.2281958285499 145 516
33.7342560414252 114 375
11.9806569967781 67 53
50.4672736853732 117 694
43.2207054347667 123 610
16.2724949972187 86 227
43.6061095850956 113 335
49.6277242438535 119 495
21.0882432411791 88 137
38.5058361409442 114 487
22.078212775342 89 180
67.3212933434889 132 819
34.4961382653985 117 286
28.4505193583018 101 335
11.7781541950434 78 263
56.177325766272 131 636
2.73310397888147 47 36
100.453557062802 177 1105
